observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,rebalance_count,average_one_way_turnover,average_one_way_active_shift_from_base,latest_effective_number_of_holdings,primary_base_fund,primary_fusion_rule,base_annualized_return,base_annualized_volatility,base_sharpe_ratio,base_max_drawdown,base_total_return,base_average_one_way_turnover,delta_annualized_return,delta_annualized_volatility,delta_sharpe_ratio,delta_max_drawdown,delta_total_return,delta_average_one_way_turnover,method_label
753,0.5168335559828798,0.1627566837761885,0.14961635059491085,0.21567410633396014,0.7546417441701055,-0.2756036141057995,1.5168335559828798,combined_equal_weight,combined_equal_weight_naive_sentiment,Combined,equal_weight,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.055423264544942986,0.027114685226465637,59.826253456137195,False,False,0.16433693011443073,0.2160038524438884,0.7608055516376531,-0.2787245867171566,0.5236892003153522,0.03857279968817224,-0.0015802463382422471,-0.0003297461099282528,-0.006163807467547522,0.0031209726113571312,-0.0068556443324723215,0.016850464856770747,Equal Weight
753,0.5707219119279183,0.18257706092199455,0.1631262524874335,0.25036106080364945,0.7292550220706413,-0.33512178543727034,1.5707219119279183,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity,Combined,hierarchical_risk_parity,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.04297616468020738,0.0,54.840810376046235,True,False,0.18257706092199455,0.25036106080364945,0.7292550220706413,-0.33512178543727034,0.5707219119279183,0.04297616468020738,0.0,0.0,0.0,0.0,0.0,0.0,Hierarchical Sleeve Risk Parity
753,0.5679505290024462,0.18184408125395607,0.162439049962102,0.24979196927983643,0.7279820955742583,-0.3336613373478464,1.5679505290024462,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity_coverage_rank_sentiment,Combined,hierarchical_risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.07462464410407402,0.04022478779915403,55.075824802700275,True,True,0.18257706092199455,0.25036106080364945,0.7292550220706413,-0.33512178543727034,0.5707219119279183,0.04297616468020738,-0.0007329796680384804,-0.0005690915238130145,-0.0012729264963829978,0.0014604480894239158,-0.0027713829254720768,0.031648479423866636,Hierarchical Sleeve Risk Parity
753,0.5670307045620171,0.18172940821635877,0.16221078822417323,0.25011798282036857,0.7265747395175277,-0.33485640570807584,1.567030704562017,combined_hierarchical_risk_parity,combined_hierarchical_risk_parity_naive_sentiment,Combined,hierarchical_risk_parity,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.05837409739974103,0.024927630819102754,55.21561963088511,True,False,0.18257706092199455,0.25036106080364945,0.7292550220706413,-0.33512178543727034,0.5707219119279183,0.04297616468020738,-0.0008476527056357763,-0.0002430779832808816,-0.0026802825531135888,0.0002653797291944926,-0.003691207365901228,0.015397932719533651,Hierarchical Sleeve Risk Parity
753,0.2631257682376038,0.13895293106555612,0.08131008843204857,0.3489607129181628,0.39819075879221666,-0.5210003618413179,1.2631257682376038,combined_maximum_sharpe,combined_maximum_sharpe,Combined,maximum_sharpe,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.15425175471607436,0.0,4.001343173858538,False,False,0.13895293106555612,0.3489607129181628,0.39819075879221666,-0.5210003618413179,0.2631257682376038,0.15425175471607436,0.0,0.0,0.0,0.0,0.0,0.0,Maximum Sharpe
753,0.27121968613228975,0.14117679120351612,0.0836239881537173,0.34919963452588554,0.4042867667808253,-0.5167496470544604,1.2712196861322898,combined_maximum_sharpe,combined_maximum_sharpe_coverage_rank_sentiment,Combined,maximum_sharpe,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.1616868059996062,0.033681827310573696,3.7990626397060665,False,True,0.13895293106555612,0.3489607129181628,0.39819075879221666,-0.5210003618413179,0.2631257682376038,0.15425175471607436,0.0022238601379599987,0.00023892160772276405,0.006096007988608654,0.004250714786857568,0.008093917894685942,0.007435051283531835,Maximum Sharpe
753,0.2826261270980146,0.14443485110997947,0.08686829451934086,0.349968194518191,0.41270850715113166,-0.5169718995116073,1.2826261270980146,combined_maximum_sharpe,combined_maximum_sharpe_naive_sentiment,Combined,maximum_sharpe,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.15634137085422747,0.021065518218445815,3.906563628169114,False,False,0.13895293106555612,0.3489607129181628,0.39819075879221666,-0.5210003618413179,0.2631257682376038,0.15425175471607436,0.005481920044423355,0.001007481600028226,0.014517748358915006,0.004028462329710658,0.019500358860410794,0.0020896161381531164,Maximum Sharpe
753,0.2214165037352771,0.0750616447584189,0.06922708517452691,0.1274552183582494,0.5889256299215355,-0.17995001821664847,1.221416503735277,combined_minimum_variance,combined_minimum_variance,Combined,minimum_variance,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.030637268886555033,0.0,8.783634516752851,False,False,0.0750616447584189,0.1274552183582494,0.5889256299215355,-0.17995001821664847,0.2214165037352771,0.030637268886555033,0.0,0.0,0.0,0.0,0.0,0.0,Minimum Variance
753,0.22196919269549875,0.0752534825902005,0.0693889778342831,0.1277664730402832,0.5889924077850532,-0.18418848564175416,1.2219691926954988,combined_minimum_variance,combined_minimum_variance_coverage_rank_sentiment,Combined,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.0744692020877301,0.0492320175053492,8.727941490178663,False,True,0.0750616447584189,0.1274552183582494,0.5889256299215355,-0.17995001821664847,0.2214165037352771,0.030637268886555033,0.00019183783178160219,0.00031125468203380136,6.677786351771964e-05,-0.004238467425105696,0.0005526889602216478,0.043831933201175066,Minimum Variance
753,0.2174956009258997,0.07398550979556076,0.0680771796056312,0.1274537255700241,0.5804891890344352,-0.17972473839018477,1.2174956009258997,combined_minimum_variance,combined_minimum_variance_naive_sentiment,Combined,minimum_variance,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.05004911715305718,0.02876075327518078,8.7524178888973,False,False,0.0750616447584189,0.1274552183582494,0.5889256299215355,-0.17995001821664847,0.2214165037352771,0.030637268886555033,-0.001076134962858133,-1.492788225310182e-06,-0.008436440887100272,0.00022527982646369793,-0.003920902809377402,0.01941184826650215,Minimum Variance
753,0.43277840057665595,0.13558671818632725,0.12789087823871492,0.17439198150177576,0.7774825253932138,-0.22384241904565572,1.432778400576656,combined_risk_parity,combined_risk_parity,Combined,risk_parity,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.0323885400244385,0.0,52.63616346564162,False,False,0.13558671818632725,0.17439198150177576,0.7774825253932138,-0.22384241904565572,0.43277840057665595,0.0323885400244385,0.0,0.0,0.0,0.0,0.0,0.0,Risk Parity
753,0.4283456841397417,0.13441651104983102,0.12672188744283663,0.17362481638028363,0.7741779882169828,-0.21974788253624422,1.4283456841397417,combined_risk_parity,combined_risk_parity_coverage_rank_sentiment,Combined,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.07258832578402408,0.04754897193551138,52.82389603486277,False,True,0.13558671818632725,0.17439198150177576,0.7774825253932138,-0.22384241904565572,0.43277840057665595,0.0323885400244385,-0.0011702071364962374,-0.000767165121492136,-0.003304537176231026,0.004094536509411495,-0.00443271643691423,0.04019978575958558,Risk Parity
753,0.4276561417878273,0.1343289087987726,0.12653982528976138,0.17405120419939735,0.771778106429428,-0.22008251088927777,1.4276561417878273,combined_risk_parity,combined_risk_parity_naive_sentiment,Combined,risk_parity,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.05235457891621397,0.02951818432317928,53.107287148778646,False,False,0.13558671818632725,0.17439198150177576,0.7774825253932138,-0.22384241904565572,0.43277840057665595,0.0323885400244385,-0.0012578093875546537,-0.0003407773023784144,-0.005704418963785818,0.0037599081563779446,-0.00512225878882866,0.01996603889177547,Risk Parity
753,0.4272168148150326,0.13205338524492422,0.1264237978181748,0.16117980666586584,0.8192923665597749,-0.20249210152511687,1.4272168148150326,equity_equal_weight,equity_equal_weight,Equity,equal_weight,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.027239281912380234,0.0,49.99999999999999,False,False,0.13205338524492422,0.16117980666586584,0.8192923665597749,-0.20249210152511687,0.4272168148150326,0.027239281912380234,0.0,0.0,0.0,0.0,0.0,0.0,Equal Weight
753,0.4205055630486947,0.13032178545037476,0.12464837588250521,0.16021672203863307,0.8134093856879075,-0.1965819725024216,1.4205055630486947,equity_equal_weight,equity_equal_weight_coverage_rank_sentiment,Equity,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.07092121651097362,0.05249288626463889,49.00316607502638,False,True,0.13205338524492422,0.16117980666586584,0.8192923665597749,-0.20249210152511687,0.4272168148150326,0.027239281912380234,-0.0017315997945494543,-0.0009630846272327687,-0.005882980871867338,0.005910129022695276,-0.006711251766337911,0.04368193459859339,Equal Weight
753,0.4190433984667601,0.13007241995711094,0.12426082884718981,0.16081443661450226,0.8088354671099286,-0.19811552328893134,1.41904339846676,equity_equal_weight,equity_equal_weight_naive_sentiment,Equity,equal_weight,naive,1.0,Naive Sentiment,full_oos,2021-01-04,2023-12-29,36,0.048717840028014325,0.032537622271758763,49.826354024097725,False,False,0.13205338524492422,0.16117980666586584,0.8192923665597749,-0.20249210152511687,0.4272168148150326,0.027239281912380234,-0.0019809652878132744,-0.0003653700513635838,-0.01045689944984629,0.004376578236185535,-0.00817341634827251,0.02147855811563409,Equal Weight
